Index,Nom,Adresse,Localitée,Full Address,Latitude,Longitude,Telephone,FAX,URL,email
1,"5 DE COEUR, CAT",Place de la Croix-Blanche 3,1066 Epalinges,Place de la Croix-Blanche 3 1066 Epalinges ,46.5479619,6.6708583,Tél: 021 784 10 54,Fax: 021 784 10 54,https://www.heviva.ch/institutions/detail/ems/5-de-coeur-cat.html,cat.epalinges@montcalme.ch
2,ALEXANDRA CPSE,CHP Alexandra. Route Fin-du-Craux 47,1822 Chernex,CHP Alexandra. Route Fin-du-Craux 47 1822 Chernex ,46.44608,6.9090212,Tél: 021 964 32 78,Fax: 021 964 32 55,https://www.heviva.ch/institutions/detail/ems/alexandra-cpse.html,chp@cpsealexandra.ch
3,"AUBEPINES, EMS LES",Chemin des Aubépines 4,1004 Lausanne,Chemin des Aubépines 4 1004 Lausanne ,46.5272756,6.6212845,Tél: 021 648 44 11,Fax: 021 648 43 30,https://www.heviva.ch/institutions/detail/ems/aubepines-ems-les.html,caffaro.direction@sispsa.ch
4,"AUBONNE, CAT Mémoire",Rue Trévelin 67,1170 Aubonne,Rue Trévelin 67 1170 Aubonne ,46.4917243,6.3887023,Tél: 079 172 84 51,Fax: 021 821 41 14,https://www.heviva.ch/institutions/detail/ems/aubonne-cat-de-lhopital-d.html,cat.aubonne@ehc.vd.ch
5,"BAUMETTES, CAT de l'EMS les",Avenue des Baumettes 120,1020 Renens,Avenue des Baumettes 120 1020 Renens ,46.5417611,6.5898009,Tél: 021 637 55 55,Fax: 021 637 55 66,https://www.heviva.ch/institutions/detail/ems/baumettes-cat-de-lems-les.html,baumettes@baumettes.ch
6,"BAUMETTES, CS de l'EMS les",Avenue des Baumettes 120,1020 Renens,Avenue des Baumettes 120 1020 Renens ,46.5417611,6.5898009,Tél: 021 637 55 55,Fax: 021 637 55 66,https://www.heviva.ch/institutions/detail/ems/baumettes-cs-de-lems-les.html,baumettes@baumettes.ch
7,"BAUMETTES, EMS LES",Avenue des Baumettes 120,1020 Renens,Avenue des Baumettes 120 1020 Renens ,46.5417611,6.5898009,Tél: 021 637 55 55,Fax: 021 637 55 66,https://www.heviva.ch/institutions/detail/ems/baumettes-ems-les.html,baumettes@baumettes.ch
8,"BAUMETTES, LP de la Fondation les",Chemin d'Eterpy 2/4,1020 Renens,Chemin d'Eterpy 2/4 1020 Renens ,46.5413183,6.5887885,Tél: 021 637 55 55,Fax: 021 637 55 66,https://www.heviva.ch/institutions/detail/ems/baumettes-lp-de-la-fondation-les.html,baumettes@baumettes.ch
9,"BEAU-SEJOUR, CS de l'EMS",Rue des Communaux 2,1800 Vevey,Rue des Communaux 2 1800 Vevey ,46.4603289,6.8494105,Tél: 021 925 90 00,Fax: 021 925 90 09,https://www.heviva.ch/institutions/detail/ems/beau-sejour-cs-de-lems.html,fondation@fondationbeausejour.ch
10,"BEAU-SEJOUR, EMS",Rue des Communaux 2,1800 Vevey,Rue des Communaux 2 1800 Vevey ,46.4603289,6.8494105,Tél: 021 925 90 00,Fax: 021 925 90 09,https://www.heviva.ch/institutions/detail/ems/beau-sejour-ems.html,fondation@fondationbeausejour.ch
